Volume,T_DHT,T_BMP,Pressure,DateTime
97.58064516,26.47999992,24.83,1029.304805,2016-11-28T00:03:06.0000000+01:00
96.77419355,26.47999992,24.815,1029.313345,2016-11-28T00:08:06.0000000+01:00
157.0967742,26.5,24.805,1029.397242,2016-11-28T00:13:06.0000000+01:00
92.74193548,26.45999985,24.815,1029.342483,2016-11-28T00:18:07.0000000+01:00
98.38709677,26.38999958,24.78,1029.341981,2016-11-28T00:23:07.0000000+01:00
94.35483871,26.38999958,24.785,1029.356047,2016-11-28T00:28:07.0000000+01:00
94.03225806,26.23000002,24.76,1029.339469,2016-11-28T00:33:07.0000000+01:00
96.61290323,26.18500052,24.625,1029.381668,2016-11-28T00:38:08.0000000+01:00
94.83870968,26.15500059,24.535,1029.383678,2016-11-28T00:43:08.0000000+01:00
97.90322581,26.15500059,24.565,1029.449489,2016-11-28T00:48:08.0000000+01:00
92.41935484,26.11500044,24.475,1029.418844,2016-11-28T00:53:08.0000000+01:00
94.51612903,26.13500052,24.415,1029.452001,2016-11-28T00:58:09.0000000+01:00
98.38709677,26.07500029,24.395,1029.526353,2016-11-28T01:03:09.0000000+01:00
92.90322581,26.01500006,24.325,1029.613264,2016-11-28T01:08:09.0000000+01:00
106.4516129,26.01000004,24.31,1029.666516,2016-11-28T01:13:09.0000000+01:00
94.51612903,26,24.3,1029.587141,2016-11-28T01:18:10.0000000+01:00
98.06451613,25.96999989,24.245,1029.642905,2016-11-28T01:23:10.0000000+01:00
94.35483871,26,24.24,1029.593672,2016-11-28T01:28:10.0000000+01:00
91.29032258,26.07500029,24.285,1029.648431,2016-11-28T01:33:11.0000000+01:00
97.41935484,26.10000038,24.285,1029.643909,2016-11-28T01:38:11.0000000+01:00
